year,city,country,avg_temp
1843,Abu Dhabi,United Arab Emirates,26.04
1844,Abu Dhabi,United Arab Emirates,26.26
1845,Abu Dhabi,United Arab Emirates,
1846,Abu Dhabi,United Arab Emirates,
1847,Abu Dhabi,United Arab Emirates,
1848,Abu Dhabi,United Arab Emirates,25.83
1849,Abu Dhabi,United Arab Emirates,26.01
1850,Abu Dhabi,United Arab Emirates,25.69
1851,Abu Dhabi,United Arab Emirates,26.25
1852,Abu Dhabi,United Arab Emirates,
1853,Abu Dhabi,United Arab Emirates,
1854,Abu Dhabi,United Arab Emirates,
1855,Abu Dhabi,United Arab Emirates,
1856,Abu Dhabi,United Arab Emirates,
1857,Abu Dhabi,United Arab Emirates,
1858,Abu Dhabi,United Arab Emirates,
1859,Abu Dhabi,United Arab Emirates,
1860,Abu Dhabi,United Arab Emirates,
1861,Abu Dhabi,United Arab Emirates,25.10
1862,Abu Dhabi,United Arab Emirates,25.34
1863,Abu Dhabi,United Arab Emirates,23.62
1864,Abu Dhabi,United Arab Emirates,26.00
1865,Abu Dhabi,United Arab Emirates,26.26
1866,Abu Dhabi,United Arab Emirates,26.09
1867,Abu Dhabi,United Arab Emirates,26.44
1868,Abu Dhabi,United Arab Emirates,26.33
1869,Abu Dhabi,United Arab Emirates,26.51
1870,Abu Dhabi,United Arab Emirates,26.24
1871,Abu Dhabi,United Arab Emirates,26.17
1872,Abu Dhabi,United Arab Emirates,26.16
1873,Abu Dhabi,United Arab Emirates,26.42
1874,Abu Dhabi,United Arab Emirates,26.30
1875,Abu Dhabi,United Arab Emirates,26.13
1876,Abu Dhabi,United Arab Emirates,26.19
1877,Abu Dhabi,United Arab Emirates,26.59
1878,Abu Dhabi,United Arab Emirates,26.59
1879,Abu Dhabi,United Arab Emirates,26.09
1880,Abu Dhabi,United Arab Emirates,26.20
1881,Abu Dhabi,United Arab Emirates,26.75
1882,Abu Dhabi,United Arab Emirates,26.05
1883,Abu Dhabi,United Arab Emirates,26.30
1884,Abu Dhabi,United Arab Emirates,26.15
1885,Abu Dhabi,United Arab Emirates,26.10
1886,Abu Dhabi,United Arab Emirates,26.38
1887,Abu Dhabi,United Arab Emirates,26.08
1888,Abu Dhabi,United Arab Emirates,26.30
1889,Abu Dhabi,United Arab Emirates,26.61
1890,Abu Dhabi,United Arab Emirates,26.20
1891,Abu Dhabi,United Arab Emirates,26.43
1892,Abu Dhabi,United Arab Emirates,26.55
1893,Abu Dhabi,United Arab Emirates,26.36
1894,Abu Dhabi,United Arab Emirates,26.24
