year, avg_temp , Glob_Mov_avg ,,year,city,country, avg_temp , Loc_Mov_avg ,Difference,,
1750, 8.720 ,,,,,,,,,,
1751, 7.980 ,,,,,,,,,,
1752, 5.780 ,,,,,,,,,,
1753, 8.390 ,,,,,,,,,,
1754, 8.470 ,,,,,,,,,,
1755, 8.360 ,,,,,,,,,,
1756, 8.850 ,,,,,,,,,,
1757, 9.020 ,,,,,,,,,,
1758, 6.740 ,,,,,,,,,,
1759, 7.990 ,,,,,,,,,,
1760, 7.190 ,,,,,,,,,,
1761, 8.770 ,,,,,,,,,,
1762, 8.610 ,,,,,,,,,,
1763, 7.500 ,,,,,,,,,,
1764, 8.400 ,,,,,,,,,,
1765, 8.250 ,,,,,,,,,,
1766, 8.410 ,,,,,,,,,,
1767, 8.220 ,,,,,,,,,,
1768, 6.780 ,,,,,,,,,,
1769, 7.690 ,,,,,,,,,,
1770, 7.690 ,,,,,,,,,,
1771, 7.850 ,,,,,,,,,,
1772, 8.190 ,,,,,,,,,,
1773, 8.220 ,,,,,,,,,,
1774, 8.770 ,,,,,,,,,,
1775, 9.180 ,,,,,,,,,,
1776, 8.300 ,,,,,,,,,,
1777, 8.260 ,,,,,,,,,,
1778, 8.540 ,,,,,,,,,,
1779, 8.980 ,,,,,,,,,,
1780, 9.430 ,,,,,,,,,,
1781, 8.100 ,,,,,,,,,,
1782, 7.900 ,,,,,,,,,,
1783, 7.680 ,,,,,,,,,,
1784, 7.860 ,,,,,,,,,,
1785, 7.360 ,,,,,,,,,,
1786, 8.260 ,,,,,,,,,,
1787, 8.030 ,,,,,,,,,,
1788, 8.450 ,,,,,,,,,,
1789, 8.330 ,,,,,,,,,,
1790, 7.980 ,,,,,,,,,,
1791, 8.230 ,,,,,,,,,,
1792, 8.090 ,,,,,,,,,,
1793, 8.230 ,,,,,,,,,,
1794, 8.530 ,,,,,,,,,,
1795, 8.350 ,,,,,,,,,,
1796, 8.270 ,,,,,,,,,,
1797, 8.510 ,,,,,,,,,,
1798, 8.670 ,,,,,,,,,,
1799, 8.510 ,,,,,,,,,,
1800, 8.480 ,,,,,,,,,,
1801, 8.590 ,,,,,,,,,,
1802, 8.580 ,,,,,,,,,,
1803, 8.500 ,,,,,,,,,,
1804, 8.840 ,,,,,,,,,,
1805, 8.560 ,,,,,,,,,,
1806, 8.430 ,,,,,,,,,,
1807, 8.280 ,,,,,,,,,,
1808, 7.630 ,,,,,,,,,,
1809, 7.080 ,,,,,,,,,,
1810, 6.920 ,,,,,,,,,,
1811, 6.860 ,,,,,,,,,,
1812, 7.050 ,,,,,,,,,,
1813, 7.740 ,,,,,,,,,,
1814, 7.590 ,,,,,,,,,,
1815, 7.240 ,,,,,,,,,,
1816, 6.940 ,,,,,,,,,,
1817, 6.980 ,,,,,,,,,,
1818, 7.830 ,,,,,,,,,,
1819, 7.370 ,,,,,,,,,,
1820, 7.620 ,,,,,,,,,,
1821, 8.090 ,,,,,,,,,,
1822, 8.190 ,,,,,,,,,,
1823, 7.720 ,,,,,,,,,,
1824, 8.550 ,,,,,,,,,,
1825, 8.390 ,,,,,,,,,,
1826, 8.360 ,,,,,,,,,,
1827, 8.810 ,,,,,,,,,,
1828, 8.170 ,,,,,,,,,,
1829, 7.940 ,,,,,,,,,,
1830, 8.520 ,,,,,,,,,,
1831, 7.640 ,,,,,,,,,,
1832, 7.450 ,,,,,,,,,,
1833, 8.010 ,,,,,,,,,,
1834, 8.150 ,,,,,,,,,,
1835, 7.390 ,,,,,,,,,,
1836, 7.700 ,,,,,,,,,,
1837, 7.380 ,,,,,,,,,,
1838, 7.510 ,,,,,,,,,,
1839, 7.630 ,,,,,,,,,,
1840, 7.800 ,,,,,,,,,,
1841, 7.690 ,,,,,,,,,,
1842, 8.020 ,,,,,,,,,,
1843, 8.170 , 7.862 , 1.708 ,1843,Abu Dhabi,United Arab Emirates, 26.040 , 26.040 , 18.178 , 1.970 ,0.88
1844, 7.650 , 7.866 ,21%,1844,Abu Dhabi,United Arab Emirates, 26.260 , 26.260 , 18.394 ,8%,
1845, 7.850 , 7.876 ,,1845,Abu Dhabi,United Arab Emirates,,,,,
1846, 8.550 , 8.048 ,,1846,Abu Dhabi,United Arab Emirates,,,,,
1847, 8.090 , 8.062 ,,1847,Abu Dhabi,United Arab Emirates,,,,,
1848, 7.980 , 8.024 ,,1848,Abu Dhabi,United Arab Emirates, 25.830 , 25.830 , 17.806 ,,
1849, 7.980 , 8.090 ,,1849,Abu Dhabi,United Arab Emirates, 26.010 , 26.010 , 17.920 ,,
1850, 7.900 , 8.100 ,,1850,Abu Dhabi,United Arab Emirates, 25.690 , 25.690 , 17.590 ,,
1851, 8.180 , 8.026 ,,1851,Abu Dhabi,United Arab Emirates, 26.250 , 26.250 , 18.224 ,,
1852, 8.100 , 8.028 ,,1852,Abu Dhabi,United Arab Emirates,,,,,
1853, 8.040 , 8.040 ,,1853,Abu Dhabi,United Arab Emirates,,,,,
1854, 8.210 , 8.086 ,,1854,Abu Dhabi,United Arab Emirates,,,,,
1855, 8.110 , 8.128 ,,1855,Abu Dhabi,United Arab Emirates,,,,,
1856, 8.000 , 8.092 ,,1856,Abu Dhabi,United Arab Emirates,,,,,
1857, 7.760 , 8.024 ,,1857,Abu Dhabi,United Arab Emirates,,,,,
1858, 8.100 , 8.036 ,,1858,Abu Dhabi,United Arab Emirates,,,,,
1859, 8.250 , 8.044 ,,1859,Abu Dhabi,United Arab Emirates,,,,,
1860, 7.960 , 8.014 ,,1860,Abu Dhabi,United Arab Emirates,,,,,
1861, 7.850 , 7.984 ,,1861,Abu Dhabi,United Arab Emirates, 25.100 , 25.100 , 17.116 ,,
1862, 7.560 , 7.944 ,,1862,Abu Dhabi,United Arab Emirates, 25.340 , 25.220 , 17.276 ,,
1863, 8.110 , 7.946 ,,1863,Abu Dhabi,United Arab Emirates, 23.620 , 24.687 , 16.741 ,,
1864, 7.980 , 7.892 ,,1864,Abu Dhabi,United Arab Emirates, 26.000 , 25.015 , 17.123 ,,
1865, 8.180 , 7.936 ,,1865,Abu Dhabi,United Arab Emirates, 26.260 , 25.264 , 17.328 ,,
